Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Other,Kathmandu,16500000,6,3,2.5,1,South East,2076.0,1026.75,10.0, Gravelled,1026.75,7
Sitapaila,Kathmandu,20500000,4,4,2.5,1,East,2076.0,11961.75,13.0, Blacktopped,11961.75,11
Budhanilkantha,Kathmandu,2500000,0,0,3.0,0,West,2074.0,1369.0,12.0, Gravelled,1369.0,2
Other,Kathmandu,6000000,0,0,3.0,0,East,2074.0,18584.25,984.252,None,18584.25,0
Other,Kathmandu,55000000,4,5,3.0,4,East,2074.0,1711.25,14.0, Paved,1711.25,7
Other,Kathmandu,1650000,0,0,3.0,0,West,2074.0,7529.5,28.0,None,7529.5,0
Budhanilkantha,Kathmandu,45000000,5,6,3.0,3,North East,2075.0,2053.5,13.0, Paved,2053.5,10
Other,Kathmandu,22500000,6,5,3.0,1,East,2076.0,1060.975,14.0, Gravelled,1060.975,5
Other,Kathmandu,23500000,6,5,3.0,1,East,2076.0,1026.75,13.0, Paved,1026.75,1
Budhanilkantha,Kathmandu,32500000,5,5,3.0,1,East,2076.0,1369.0,13.0, Blacktopped,1369.0,1
Other,Kathmandu,26000000,11,9,3.0,1,North,2074.0,1711.25,13.0, Blacktopped,3200.0,12
Other,Kathmandu,24000000,7,8,4.0,1,South East,2065.0,1711.25,13.0, Gravelled,1711.25,1
Other,Kathmandu,2200000,1,1,1.0,2,East,2016.0,4278.125,10.0, Gravelled,4278.125,3
Other,Kathmandu,16800000,5,5,3.0,1,North East,2074.0,1026.75,14.0, Gravelled,1026.75,1
Budhanilkantha,Kathmandu,34000000,6,6,3.0,2,North East,2076.0,1882.375,30.0, Blacktopped,1882.375,2
Other,Kathmandu,42500000,5,6,3.0,4,South East,2071.0,4107.0,14.0, Gravelled,4107.0,10
Baluwatar,Kathmandu,41000000,7,3,2.5,1,North,2066.0,1711.25,10.0, Blacktopped,1711.25,13
Kapan,Kathmandu,1300000,0,0,3.0,0,East,2074.0,2464.2,0.0,None,2464.2,0
Other,Kathmandu,16000000,5,3,2.5,1,East,2076.0,1026.75,13.0, Blacktopped,2000.0,14
Kapan,Kathmandu,15000000,4,4,3.0,2,West,2014.0,1095.2,0.0,None,1095.2,1
Jorpati,Kathmandu,23500000,0,0,3.0,0,North East,2050.0,1026.75,0.0, Alley,1026.75,0
Baluwatar,Kathmandu,60000000,5,5,2.5,1,South,2074.0,2053.5,13.0, Blacktopped,2053.5,13
Other,Kathmandu,4200000,0,0,3.0,1,North,2074.0,12988.5,13.0, Blacktopped,12988.5,3
Other,Kathmandu,4200000,0,0,3.0,1,South,2074.0,3080.25,13.0, Gravelled,3080.25,3
Other,Kathmandu,4500000,0,0,3.0,0,South,2074.0,5359.25,20.0, Blacktopped,5359.25,3
