,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
250, Budhanilkantha,Kathmandu,0,0,0,East,131.0,308025.0,16.0, Gravelled
251, Ratopul,Kathmandu,0,0,3,East,228.0,205350.0,18.0, Blacktopped
252, Mahendrapul,Pokhara,0,2,0,East,173.0,1369.0,0.0,
253, Balaju,Kathmandu,1,1,4,East,444.0,1369.0,20.0,
254, Basbari,Kathmandu,0,0,0,East,105.0,342250.0,16.0, Gravelled
255, Golfutar,Kathmandu,5,6,2,South,492.0,1369.0,20.0, Blacktopped
256, Mahendrapul,Pokhara,0,0,0,East,292.0,1369.0,0.0,
257, Dhapakhel,Lalitpur,0,0,1,East,101.0,136900.0,10.0, Gravelled
258, Jawalakhel,Lalitpur,4,4,1,East,176.0,1711.25,0.0,
259, Parsa,Chitwan,0,0,0,South East,1700.0,51030.0,30.0, Blacktopped
260, Budhanilkantha.,Kathmandu,5,4,2,East,350.0,188237.5,20.0, Blacktopped
261, 80 Meter From Highway,Kathmandu,5,0,0,East,266.0,444925.0,20.0, Blacktopped
262, Pokharia,Biratnagar,0,0,0,East,129.0,5467.5,0.0, Blacktopped
263, Sanobharyang,Kathmandu,5,3,1,East,238.0,106097.5,14.0, Blacktopped
264, Sano Bharyang,Kathmandu,5,3,2,East,175.0,102675.0,15.0, Blacktopped
265, Budhanilkantha,Kathmandu,4,3,1,East,271.0,103701.75,15.0, Gravelled
266, Budhanilkantha,Kathmandu,5,4,1,East,204.0,136900.0,15.0, Gravelled
267, Budhanilkantha,Kathmandu,5,0,4,East,210.0,410700.0,15.0, Blacktopped
268, Thankot,Kathmandu,10,3,0,East,538.0,1369.0,3.0,
269, Sukedhara,Kathmandu,5,3,1,East,147.0,171125.0,12.0, Paved
270, Budhanilkantha,Kathmandu,5,4,2,East,280.0,205350.0,18.0, Gravelled
271, Tokha,Kathmandu,0,0,0,East,194.0,171125.0,20.0, Blacktopped
272, Chapali,Kathmandu,0,0,0,East,107.0,171125.0,16.0, Blacktopped
273, Budhanilkantha,Kathmandu,0,0,0,South East,422.0,1711.25,12.0, Gravelled
274, maijubahal,Kathmandu,0,0,0,East,351.0,1369.0,13.0, Gravelled
275, Golfutar,Kathmandu,0,0,0,West,368.0,4449.25,13.0, Blacktopped
276, Tokha,Kathmandu,0,0,0,East,415.0,2053.5,20.0, Blacktopped
277, Golfutar,Kathmandu,5,5,1,South,1200.0,1369.0,20.0, Blacktopped
278, Sukedhara,Kathmandu,6,6,3,East,198.0,2053.5,20.0, Blacktopped
279, Birgunj,Parsa,0,0,0,South,164.0,8201.25,6.0,
280, Baghdol,Lalitpur,2,1,2,East,362.0,3764.75,0.0,
281, Manmaiju,Kathmandu,5,3,1,East,764.0,128343.75,12.0, Paved
282, Maharajgunj,Kathmandu,5,4,2,East,289.0,3764.75,0.0,
283, Bhaisepati,Lalitpur,3,3,1,East,644.0,18823.75,0.0,
284, Goldhunga,Kathmandu,6,3,1,South East,5700.0,102675.0,10.0, Gravelled
